#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
AK|NEA2|64.5928|-149.0694|450.0|Nenana, AK, USA||
AK|NIKH|52.9721|-168.855|199.0|Nikolski High Hill, AK, USA||
AK|NIKI|60.6726|-151.3523|41.0|Nikiski AGDC plant, AK, USA||
AK|O14K|59.2533|-161.2638|129.0|Tigyukauivet Mountain, AK, USA||
AK|O18K|59.8542|-155.208|544.0|Koktuh Hills, AK, USA||
AK|O19K|60.1952|-154.3201|96.0|Port Alsworth, AK, USA||
AK|O20K|60.0815|-152.624|915.0|Slope Mountain, AK, USA||
AK|P08K|56.6011|-169.5484|36.0|Saint George Island, AK, USA||
AK|P16K|59.0314|-157.9906|85.9|Nushagak River, AK, USA||
AK|P17K|59.1953|-156.4394|91.0|Kvichak River, AK, USA||
AK|P23K|59.9979|-147.4031|287.0|Montague Island, AK, USA||
AK|PAX|62.9699|-145.4699|1150.0|Paxson, AK, USA||
AK|PIN|60.0959|-140.2525|975.0|Pinnacle, AK, USA||
AK|PNL|59.667|-139.4014|586.0|Peninsula, AK, USA||
AK|POKR|65.1171|-147.4335|501.0|Poker Flat Research Range, AK, USA||
AK|PPD|65.5174|-145.5246|1505.0|Porcupine Dome, AK, USA||
AK|PPLA|62.8962|-152.1894|1519.0|Purkeypile, AK, USA||
AK|PS01|70.258|-148.6141|9.0|TAPS Pump Station 1, AK, USA||
AK|PS04|68.4215|-149.3568|849.0|TAPS Pump Station 4, AK, USA||
AK|PS05|66.8133|-150.6646|327.0|TAPS Pump Station 5, AK, USA||
AK|PS06|65.8545|-149.7369|280.0|TAPS Pump Station 6, AK, USA||
AK|PS07|65.3106|-148.2791|289.0|TAPS Pump Station 7, AK, USA||
AK|PS08|64.5422|-146.8221|320.0|TAPS Pump Station 8, AK, USA||
AK|PS09|63.9299|-145.7682|468.0|TAPS Pump Station 9, AK, USA||
AK|PS10|63.4229|-145.7684|738.0|TAPS Pump Station 10, AK, USA||
AK|PS11|62.0789|-145.4751|375.0|TAPS Pump Station 11, AK, USA||
AK|PS12|61.4749|-145.1458|562.7|TAPS Pump Station 12, AK, USA||
AK|PTPK|61.1871|-142.4672|1892.6|Patty Peak Repeater, AK, USA||
AK|PWL|60.8584|-148.3334|550.0|Port Wells, AK, USA||
AK|Q19K|58.9287|-153.6446|631.0|Cape Douglas, AK, USA||
AK|Q23K|59.4296|-146.3399|46.0|Middleton Island, AK, USA||
AK|R16K|57.5673|-157.5742|38.0|Pilot Point, AK, USA||
AK|R18K|57.5665|-154.4524|39.0|Karluk, AK, USA||
